Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399756953-1,Isaac Lea,4 Mar 1792 - 8 Dec 1886,https://en.wikipedia.org/wiki/Isaac_Lea
ld1-1643399756728-1643399756954-0,John Ericsson,31 Jul 1803 - 8 Mar 1889,https://en.wikipedia.org/wiki/John_Ericsson
ld1-1643399756728-1643399757052-0,Henry Clay,12 Apr 1777 - 29 Jun 1852,https://en.wikipedia.org/wiki/Henry_Clay
ld1-1643399756728-1643399757145-0,Thomas Jefferson,13 Apr 1743 - 4 Jul 1826,https://en.wikipedia.org/wiki/Thomas_Jefferson
ld1-1643399756728-1643399757234-0,John Caldwell Calhoun,18 Mar 1782 - 31 Mar 1850,https://en.wikipedia.org/wiki/John_Caldwell_Calhoun
ld1-1643399756728-1643399757305-1,Parke Godwin,25 Feb 1816 - 7 Jan 1904,https://en.wikipedia.org/wiki/Parke_Godwin_(journalist)
ld1-1643399756728-1643399757377-1,John Sergeant,5 Dec 1779 - 25 Nov 1852,https://en.wikipedia.org/wiki/John_Sergeant_(politician)
ld1-1643399756728-1643399757378-1,Joseph Jefferson,20 Feb 1829 - 23 Apr 1905,https://en.wikipedia.org/wiki/Joseph_Jefferson
ld1-1643399756728-1643399757411-0,Cornelius Vanderbilt,27 May 1794 - 4 Jan 1877,https://en.wikipedia.org/wiki/Cornelius_Vanderbilt
ld1-1643399756728-1643399757649-2,Joseph Story,18 Sep 1779 - 10 Sep 1845,https://en.wikipedia.org/wiki/Joseph_Story
ld1-1643399756728-1643399757815-0,Harrison Gray Otis,8 Oct 1765 - 28 Oct 1848,https://en.wikipedia.org/wiki/Harrison_Gray_Otis_(politician)
ld1-1643399756728-1643399757849-1,Benjamin Harrison,20 Aug 1833 - 13 Mar 1901,https://en.wikipedia.org/wiki/Benjamin_Harrison
ld1-1643399756728-1643399757960-0,Joseph Moody,1763 - 1839,-
ld1-1643399756728-1643399758079-0,Rev. John Carroll,8 Jan 1735 - 3 Dec 1815,https://en.wikipedia.org/wiki/John_Carroll_(archbishop)
ld1-1643399756728-1643399758082-0,Peggy Bacon,2 May 1895 - 4 Jan 1987,https://en.wikipedia.org/wiki/Peggy_Bacon
ld1-1643399756728-1643399758223-0,Gulian Crommelin Verplanck,6 Aug 1786 - 18 Mar 1870,https://en.wikipedia.org/wiki/Gulian_Crommelin_Verplanck
ld1-1643399756728-1643399758224-0,Horatio Gates,1727 - 1806,https://en.wikipedia.org/wiki/Horatio_Gates
ld1-1643399756728-1643399758315-0,John Lothrop Motley,15 Apr 1814 - 29 May 1877,https://en.wikipedia.org/wiki/John_Lothrop_Motley
ld1-1643399756728-1643399758485-0,Thomas Jonathan Jackson,21 Jan 1824 - 10 May 1863,https://en.wikipedia.org/wiki/Thomas_Jonathan_Jackson
ld1-1643399756728-1643399758522-2,Anson Phelps Stokes,13 Apr 1874 - 13 Aug 1958,https://en.wikipedia.org/wiki/Anson_Phelps_Stokes_(philanthropist)
ld1-1643399756728-1643399758525-0,William Lloyd Garrison,10 Dec 1805 - 24 May 1879,https://en.wikipedia.org/wiki/William_Lloyd_Garrison
ld1-1643399756728-1643399758545-0,Millard Fillmore,7 Jan 1800 - 8 Mar 1874,https://en.wikipedia.org/wiki/Millard_Fillmore
ld1-1643399756728-1643399758567-1,John Caldwell Calhoun,18 Mar 1782 - 31 Mar 1850,https://en.wikipedia.org/wiki/John_Caldwell_Calhoun
ld1-1643399756728-1643399758633-1,Theresa Helburn,12 Jan 1887 - 18 Aug 1959,https://en.wikipedia.org/wiki/Theresa_Helburn
ld1-1643399756728-1643399758661-1,Rev. Justus Henry Christian Helmuth,16 May 1745 - 5 Feb 1825,https://en.wikipedia.org/wiki/Justus_Christian_Henry_Helmuth
ld1-1643399756728-1643399758788-0,Roger Sherman,c. 19 Apr 1721 - 23 Jul 1793,https://en.wikipedia.org/wiki/Roger_Sherman
ld1-1643399756728-1643399758893-0,Henry Clay,12 Apr 1777 - 29 Jun 1852,https://en.wikipedia.org/wiki/Henry_Clay
ld1-1643399756728-1643399759096-1,Juliana Westray Wood,1778 - 1838,https://en.wikipedia.org/wiki/Juliana_Westray
ld1-1643399756728-1643399759125-1,Nelson Wilmarth Aldrich,6 Nov 1841 - 16 Apr 1915,https://en.wikipedia.org/wiki/Nelson_Wilmarth_Aldrich
ld1-1643399756728-1643399759201-0,Richard Watson Gilder,8 Feb 1844 - 18 Nov 1909,https://en.wikipedia.org/wiki/Richard_Watson_Gilder
ld1-1643399756728-1643399759424-0,Benjamin Lay,c. 1681 - 3 Feb 1759,https://en.wikipedia.org/wiki/Benjamin_Lay
ld1-1643399756728-1643399759739-0,Thomas Say,27 Jun 1787 - 10 Oct 1834,https://en.wikipedia.org/wiki/Thomas_Say
ld1-1643399756728-1643399759910-0,George Inness,1 May 1825 - 3 Aug 1894,https://en.wikipedia.org/wiki/George_Inness
ld1-1643399756728-1643399760026-1,Charles Sumner,6 Jan 1811 - 11 Mar 1874,https://en.wikipedia.org/wiki/Charles_Sumner
ld1-1643399756728-1643399760027-0,John George Brown,11 Nov 1831 - 8 Feb 1913,https://en.wikipedia.org/wiki/John_George_Brown
ld1-1643399756728-1643399760065-0,Sidney Dillon,7 May 1812 - 9 Jun 1892,https://en.wikipedia.org/wiki/Sidney_Dillon
ld1-1643399756728-1643399760151-0,James Henry Hackett,15 Mar 1800 - 28 Dec 1871,https://en.wikipedia.org/wiki/James_Henry_Hackett
ld1-1643399756728-1643399760188-0,George Catlin,26 Jul 1796 - 23 Dec 1872,https://en.wikipedia.org/wiki/George_Catlin
ld1-1643399756728-1643399760442-0,William Cullen Bryant,3 Nov 1794 - 12 Jun 1878,https://en.wikipedia.org/wiki/William_Cullen_Bryant
ld1-1643399756728-1643399760496-0,Samuel Washington Woodhouse,27 Jun 1821 - 23 Oct 1904,https://en.wikipedia.org/wiki/Samuel_Washington_Woodhouse
ld1-1643399756728-1643399760553-0,Bret Harte,25 Aug 1836 - 5 May 1902,https://en.wikipedia.org/wiki/Bret_Harte
ld1-1643399756728-1643399760652-0,Benjamin West,10 Oct 1738 - 11 Mar 1820,https://en.wikipedia.org/wiki/Benjamin_West
ld1-1643399756728-1643399760825-0,Henry Williams Blodgett,21 Jul 1821 - 1905,https://en.wikipedia.org/wiki/Henry_Williams_Blodgett
ld1-1643399756728-1643399760889-0,Frederick Douglass,Feb 1818 - 20 Feb 1895,https://en.wikipedia.org/wiki/Frederick_Douglass
ld1-1643399756728-1643399760952-0,Charles Herbert Woodbury,1864 - 21 Jan 1940,https://en.wikipedia.org/wiki/Charles_Herbert_Woodbury
ld1-1643399756728-1643399761089-1,Matthew Pratt,23 Sep 1734 - 9 Jan 1805,https://en.wikipedia.org/wiki/Matthew_Pratt
ld1-1643399756728-1643399761355-1,Alla Nazimova,4 Jun 1878 - 13 Jul 1945,https://en.wikipedia.org/wiki/Alla_Nazimova
ld1-1643399756728-1643399761430-0,Charles Cotesworth Pinckney,25 Feb 1746 - 25 Aug 1825,https://en.wikipedia.org/wiki/Charles_Cotesworth_Pinckney
ld1-1643399756728-1643399761501-1,Horatio Greenough,6 Sep 1805 - 18 Dec 1852,https://en.wikipedia.org/wiki/Horatio_Greenough
ld1-1643399756728-1643399761514-0,Jean Louis Rodolphe Agassiz,28 May 1807 - 14 Dec 1873,https://en.wikipedia.org/wiki/Jean_Louis_Rodolphe_Agassiz
ld1-1643399756728-1643399761567-0,Henry Laurens,6 Mar 1724 - 8 Dec 1792,https://en.wikipedia.org/wiki/Henry_Laurens
ld1-1643399756728-1643399761703-0,James Kent,31 Jul 1763 - 12 Dec 1847,https://en.wikipedia.org/wiki/James_Kent_(jurist)
ld1-1643399756728-1643399761760-1,Juliette Gordon Low,31 Oct 1860 - 17 Jan 1927,https://en.wikipedia.org/wiki/Juliette_Gordon_Low
ld1-1643399756728-1643399761953-0,Minimic,? - 1881,-
ld1-1643399756728-1643399762124-0,Zachary Taylor,24 Nov 1784 - 9 Jul 1850,https://en.wikipedia.org/wiki/Zachary_Taylor
ld1-1643399756728-1643399762145-0,George Fuller,17 Jan 1822 - 21 Mar 1884,https://en.wikipedia.org/wiki/George_Fuller_(painter)
ld1-1643399756728-1643399762146-0,Fisher Ames,9 Apr 1758 - 4 Jul 1808,https://en.wikipedia.org/wiki/Fisher_Ames
ld1-1643399756728-1643399762167-1,Elisha Kent Kane,3 Feb 1820 - 16 Feb 1857,https://en.wikipedia.org/wiki/Elisha_Kent_Kane
ld1-1643399756728-1643399762181-0,Benjamin Franklin,17 Jan 1706 - 17 Apr 1790,https://en.wikipedia.org/wiki/Benjamin_Franklin
ld1-1643399756728-1643399762213-1,Woodrow Wilson,28 Dec 1856 - 3 Feb 1924,https://en.wikipedia.org/wiki/Woodrow_Wilson
ld1-1643399756728-1643399762386-0,Sidney Hillman,23 Apr 1887 - 10 Jul 1946,https://en.wikipedia.org/wiki/Sidney_Hillman
ld1-1643399756728-1643399762529-0,George Henry Durrie,6 Jun 1820 - 15 Oct 1863,https://en.wikipedia.org/wiki/George_Henry_Durrie
ld1-1643399756728-1643399762741-0,James C. McGuire,1812 - Aug 29 1888,-
ld1-1643399756728-1643399762757-0,James Pollard Espy,9 May 1785 - 24 Jan 1860,https://en.wikipedia.org/wiki/James_Pollard_Espy
ld1-1643399756728-1643399762758-0,Belva Ann Bennett Lockwood,25 Oct 1830 - 19 May 1917,https://en.wikipedia.org/wiki/Belva_Ann_Bennett_Lockwood
ld1-1643399756728-1643399762770-1,Zachary Taylor,24 Nov 1784 - 9 Jul 1850,https://en.wikipedia.org/wiki/Zachary_Taylor
ld1-1643399756728-1643399762818-0,Reza Shah Pahlavi,1878 - 1944,https://en.wikipedia.org/wiki/Reza_Shah_Pahlavi
ld1-1643399756728-1643399762873-0,Varina Howell Davis,7 May 1826 - 16 Oct 1906,https://en.wikipedia.org/wiki/Varina_Howell_Davis
ld1-1643399756728-1643399763094-1,Andrew Jackson,15 Mar 1767 - 8 Jun 1845,https://en.wikipedia.org/wiki/Andrew_Jackson
ld1-1643399756728-1643399763102-1,Bayard Taylor,11 Jan 1825 - 19 Dec 1878,https://en.wikipedia.org/wiki/Bayard_Taylor
ld1-1643399756728-1643399763122-0,Anne Catharine Hoof Green,c. 1720 - 23 Mar 1775,https://en.wikipedia.org/wiki/Anne_Catherine_Hoof_Green
ld1-1643399756728-1643399763170-1,Levi Parsons Morton,16 May 1824 - 16 May 1920,https://en.wikipedia.org/wiki/Levi_Parsons_Morton
ld1-1643399756728-1643399763261-0,Thomas Hart Benton,14 Mar 1782 - 10 Apr 1858,https://en.wikipedia.org/wiki/Thomas_Hart_Benton_(politician)
ld1-1643399756728-1643399763269-0,Robert Edward Lee,19 Jan 1807 - 12 Oct 1870,https://en.wikipedia.org/wiki/Robert_Edward_Lee
ld1-1643399756728-1643399763316-0,Thomas Jefferson,13 Apr 1743 - 4 Jul 1826,https://en.wikipedia.org/wiki/Thomas_Jefferson
ld1-1643399756728-1643399763440-0,John James Audubon,26 Apr 1785 - 27 Jan 1851,https://en.wikipedia.org/wiki/John_James_Audubon
ld1-1643399756728-1643399763580-1,John Tyler,29 Mar 1790 - 18 Jan 1862,https://en.wikipedia.org/wiki/John_Tyler
ld1-1643399756728-1643399763733-0,Samuel Chase,17 Apr 1741 - 19 Jun 1811,https://en.wikipedia.org/wiki/Samuel_Chase
ld1-1643399756728-1643399763768-1,John Joseph Pershing,13 Sep 1860 - 15 Jul 1948,https://en.wikipedia.org/wiki/John_Joseph_Pershing
ld1-1643399756728-1643399763898-1,Isaac Mayer Wise,29 Mar 1819 - 26 Mar 1900,https://en.wikipedia.org/wiki/Isaac_Mayer_Wise
ld1-1643399756728-1643399763975-0,John Brown,9 May 1800 - 2 Dec 1859,https://en.wikipedia.org/wiki/John_Brown_(abolitionist)
ld1-1643399756728-1643399764050-1,Joel Barlow,24 Mar 1754 - 26 Dec 1812,https://en.wikipedia.org/wiki/Joel_Barlow
ld1-1643399756728-1643399764165-0,Joseph Stalin,21 Dec 1879 - Mar 1953,https://en.wikipedia.org/wiki/Joseph_Stalin
ld1-1643399756728-1643399764193-0,Edith Wharton,24 Jan 1862 - 11 Aug 1937,https://en.wikipedia.org/wiki/Edith_Wharton
ld1-1643399756728-1643399764264-0,James Jerome Hill,16 Sep 1838 - 29 May 1916,https://en.wikipedia.org/wiki/James_Jerome_Hill
ld1-1643399756728-1643399764369-0,Frederick William MacMonnies,28 Sep 1863 - 23 Mar 1937,https://en.wikipedia.org/wiki/Frederick_William_MacMonnies
ld1-1643399756728-1643399764435-0,Martha Washington,2 Jun 1731 - 22 May 1802,https://en.wikipedia.org/wiki/Martha_Washington
ld1-1643399756728-1643399764643-0,Simon Newcomb,12 Mar 1835 - 11 Jul 1909,https://en.wikipedia.org/wiki/Simon_Newcomb
ld1-1643399756728-1643399764655-1,Theodore Roosevelt,27 Oct 1858 - 6 Jan 1919,https://en.wikipedia.org/wiki/Theodore_Roosevelt
ld1-1643399756728-1643399764676-0,Willard Huntington Wright,1888 - 11 Apr 1939,https://en.wikipedia.org/wiki/Willard_Huntington_Wright
ld1-1643399756728-1643399764852-0,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399764875-0,William Gilmore Simms,17 Apr 1806 - 11 Jun 1870,https://en.wikipedia.org/wiki/William_Gilmore_Simms
ld1-1643399756728-1643399764904-0,Charlotte Saunders Cushman,23 Jul 1816 - 17 Feb 1876,https://en.wikipedia.org/wiki/Charlotte_Saunders_Cushman
ld1-1643399756728-1643399765306-1,Charles Brockden Brown,17 Jan 1771 - 22 Feb 1810,https://en.wikipedia.org/wiki/Charles_Brockden_Brown
ld1-1643399756728-1643399765308-0,Isaac Merrit Singer,27 Oct 1811 - 23 Jul 1875,https://en.wikipedia.org/wiki/Isaac_Merrit_Singer
ld1-1643399756728-1643399765504-1,Andrew Johnson,29 Dec 1808 - 31 Jul 1875,https://en.wikipedia.org/wiki/Andrew_Johnson
ld1-1643399756728-1643399765523-0,Orestes Augustus Brownson,16 Sep 1803 - 17 Apr 1876,https://en.wikipedia.org/wiki/Orestes_Augustus_Brownson
ld1-1643399756728-1643399765725-1,William Morris Hunt,31 Mar 1824 - 8 Sep 1879,https://en.wikipedia.org/wiki/William_Morris_Hunt
ld1-1643399756728-1643399765801-0,Andrew Oliver,28 Mar 1706 - 3 Mar 1774,https://en.wikipedia.org/wiki/Andrew_Oliver
ld1-1643399756728-1643399765815-1,Samuel Francis Du Pont,27 Sep 1803 - 23 Jun 1865,https://en.wikipedia.org/wiki/Samuel_Francis_Du_Pont
ld1-1643399756728-1643399765937-0,Rubens Peale,1784 - 1865,https://en.wikipedia.org/wiki/Rubens_Peale
ld1-1643399756728-1643399765945-0,John Witherspoon,5 Feb 1723 - 15 Nov 1794,https://en.wikipedia.org/wiki/John_Witherspoon
ld1-1643399756728-1643399765989-1,Luman Reed,4 Jun 1781 - 7 Jul 1836,https://en.wikipedia.org/wiki/Luman_Reed
ld1-1643399756728-1643399766217-0,DeWitt Clinton,2 Mar 1769 - 11 Feb 1828,https://en.wikipedia.org/wiki/DeWitt_Clinton
ld1-1643399756728-1643399766217-1,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399766278-1,Samuel Seabury,30 Nov 1729 - 25 Feb 1796,https://en.wikipedia.org/wiki/Samuel_Seabury
ld1-1643399756728-1643399766282-1,Solomon White Roberts,3 Aug 1811 - 22 Mar 1882,-
ld1-1643399756728-1643399766345-1,William McKinley,29 Jan 1843 - 14 Sep 1901,https://en.wikipedia.org/wiki/William_McKinley
ld1-1643399756728-1643399766359-0,John Quinn,24 Apr 1870 - 28 Jul 1924,https://en.wikipedia.org/wiki/John_Quinn_(collector)
ld1-1643399756728-1643399766370-0,Henry Cabot Lodge,12 May 1850 - 9 Nov 1924,https://en.wikipedia.org/wiki/Henry_Cabot_Lodge
ld1-1643399756728-1643399766371-0,Henry George,2 Sep 1839 - 29 Oct 1897,https://en.wikipedia.org/wiki/Henry_George
ld1-1643399756728-1643399766380-1,Jefferson Davis,3 Jun 1808 - 6 Dec 1889,https://en.wikipedia.org/wiki/Jefferson_Davis
ld1-1643399756728-1643399766513-1,Stephen Grover Cleveland,18 Mar 1837 - 24 Jun 1908,https://en.wikipedia.org/wiki/Stephen_Grover_Cleveland
ld1-1643399756728-1643399766587-1,Abraham Lincoln,12 Feb 1809 - 15 Apr 1865,https://en.wikipedia.org/wiki/Abraham_Lincoln
ld1-1643399756728-1643399766641-1,William Henry Aspinwall,16 Dec 1807 - 18 Jan 1875,https://en.wikipedia.org/wiki/William_Henry_Aspinwall
ld1-1643399756728-1643399766657-1,James Armstrong Thome,20 Jan 1813 - 4 Mar 1873,-
ld1-1643399756728-1643399766677-0,Martha Washington,2 Jun 1731 - 22 May 1802,https://en.wikipedia.org/wiki/Martha_Washington
ld1-1643399756728-1643399767026-0,Edmund Charles Tarbell,26 Apr 1862 - 1 Aug 1938,https://en.wikipedia.org/wiki/Edmund_Charles_Tarbell
ld1-1643399756728-1643399767027-0,John Quincy Adams,11 Jul 1767 - 23 Feb 1848,https://en.wikipedia.org/wiki/John_Quincy_Adams
ld1-1643399756728-1643399767159-1,Zachary Taylor,24 Nov 1784 - 9 Jul 1850,https://en.wikipedia.org/wiki/Zachary_Taylor
ld1-1643399756728-1643399767215-0,John Jay,12 Dec 1745 - 17 May 1829,https://en.wikipedia.org/wiki/John_Jay
ld1-1643399756728-1643399767479-0,Samuel Miles,11 Mar 1740 - 6 Dec 1805,https://en.wikipedia.org/wiki/Samuel_Miles
ld1-1643399756728-1643399767548-1,Mary Newton Foote Henderson,1842 - 1931,https://en.wikipedia.org/wiki/Mary_Foote_Henderson
ld1-1643399756728-1643399767598-1,George Washington,22 Feb 1732 - 14 Dec 1799,https://en.wikipedia.org/wiki/George_Washington
ld1-1643399756728-1643399767617-0,John Singleton Copley,3 Jul 1738 - 9 Sep 1815,https://en.wikipedia.org/wiki/John_Singleton_Copley
ld1-1643399756728-1643399767823-0,Louis Dembitz Brandeis,13 Nov 1856 - 5 Oct 1941,https://en.wikipedia.org/wiki/Louis_Dembitz_Brandeis
ld1-1643399756728-1643399767829-0,Joel Barlow,24 Mar 1754 - 26 Dec 1812,https://en.wikipedia.org/wiki/Joel_Barlow
ld1-1643399756728-1643399767916-0,John Marshall,24 Sep 1755 - 6 Jul 1835,https://en.wikipedia.org/wiki/John_Marshall
ld1-1643399756728-1643399768285-0,John Muir,21 Apr 1838 - 24 Dec 1914,https://en.wikipedia.org/wiki/John_Muir
ld1-1643399756728-1643399768332-1,Cecilia Beaux,1 May 1855 - 17 Sep 1942,https://en.wikipedia.org/wiki/Cecilia_Beaux
ld1-1643399756728-1643399768405-0,Daniel Huntington,14 Oct 1816 - 18 Apr 1906,https://en.wikipedia.org/wiki/Daniel_Huntington_(artist)
ld1-1643399756728-1643399768469-0,Lillian D. Wald,10 Mar 1867 - 1 Sep 1940,https://en.wikipedia.org/wiki/Lillian_D._Wald
ld1-1643399756728-1643399768488-0,Lucretia Coffin Mott,3 Jan 1793 - 11 Nov 1880,https://en.wikipedia.org/wiki/Lucretia_Coffin_Mott
ld1-1643399756728-1643399768586-0,David Wiley,c. 1768 - c. 1813,https://en.wikipedia.org/wiki/David_Wiley_(mayor)
ld1-1643399756728-1643399768628-1,Arthur St. Clair,23 Mar 1737 - 31 Aug 1818,https://en.wikipedia.org/wiki/Arthur_St._Clair
ld1-1643399756728-1643399769106-1,John Marshall,24 Sep 1755 - 6 Jul 1835,https://en.wikipedia.org/wiki/John_Marshall
ld1-1643399756728-1643399769187-0,William Cullen Bryant,3 Nov 1794 - 12 Jun 1878,https://en.wikipedia.org/wiki/William_Cullen_Bryant
ld1-1643399756728-1643399769285-1,Alexander Graham Bell,3 Mar 1847 - 2 Aug 1922,https://en.wikipedia.org/wiki/Alexander_Graham_Bell
ld1-1643399756728-1643399769556-0,William Samuel Johnson,7 Oct 1727 - 14 Nov 1819,https://en.wikipedia.org/wiki/William_Samuel_Johnson
ld1-1643399756728-1643399769687-0,Charles William Eliot,20 Mar 1834 - 22 Aug 1926,https://en.wikipedia.org/wiki/Charles_William_Eliot
ld1-1643399756728-1643399769700-0,William Collins Whitney,5 Jul 1841 - 2 Feb 1904,https://en.wikipedia.org/wiki/William_Collins_Whitney
ld1-1643399756728-1643399769700-1,Stephen Arnold Douglas,23 Apr 1813 - 3 Jun 1861,https://en.wikipedia.org/wiki/Stephen_Arnold_Douglas
ld1-1643399756728-1643399769887-0,Carl Schurz,2 Mar 1829 - 14 May 1906,https://en.wikipedia.org/wiki/Carl_Schurz
ld1-1643399756728-1643399769950-1,Ira Frederick Aldridge,24 Jul 1807 - 10 Aug 1867,https://en.wikipedia.org/wiki/Ira_Frederick_Aldridge
ld1-1643399756728-1643399769954-0,John Summerfield,1798 - 1825,https://en.wikipedia.org/wiki/John_Summerfield
ld1-1643399756728-1643399770085-0,Alfred Bult Mullett,8 Nov 1834 - 20 Oct 1890,https://en.wikipedia.org/wiki/Alfred_Bult_Mullett
ld1-1643399756728-1643399770112-0,Richard Evelyn Byrd,25 Oct 1888 - 11 Mar 1957,https://en.wikipedia.org/wiki/Richard_Evelyn_Byrd
ld1-1643399756728-1643399770120-0,Rufus King,24 Mar 1755 - 29 Apr 1827,https://en.wikipedia.org/wiki/Rufus_King
ld1-1643399756728-1643399770164-0,Henry Cruger,22 Nov 1739 - 24 Apr 1827,https://en.wikipedia.org/wiki/Henry_Cruger
ld1-1643399756728-1643399770206-0,James Robert Mann,20 Oct 1856 - 30 Nov 1922,https://en.wikipedia.org/wiki/James_Robert_Mann_(Illinois_politician)
ld1-1643399756728-1643399770207-0,George Fuller,17 Jan 1822 - 21 Mar 1884,https://en.wikipedia.org/wiki/George_Fuller_(painter)
ld1-1643399756728-1643399770249-1,Henry Wadsworth Longfellow,27 Feb 1807 - 24 Mar 1882,https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow
ld1-1643399756728-1643399770256-0,Sarah Porter,16 Aug 1813 - 17 Feb 1900,https://en.wikipedia.org/wiki/Sarah_Porter
ld1-1643399756728-1643399770308-0,Ulysses Simpson Grant,27 Apr 1822 - 23 Jul 1885,https://en.wikipedia.org/wiki/Ulysses_Simpson_Grant
ld1-1643399756728-1643399770384-0,Samuel Myer Isaacs,4 Jan 1804 - 19 May 1878,https://en.wikipedia.org/wiki/Samuel_Myer_Isaacs
ld1-1643399756728-1643399770422-1,Cass Gilbert,24 Nov 1859 - 17 May 1934,https://en.wikipedia.org/wiki/Cass_Gilbert
ld1-1643399756728-1643399770479-0,James Abram Garfield,19 Nov 1831 - 19 Sep 1881,https://en.wikipedia.org/wiki/James_Abram_Garfield
ld1-1643399756728-1643399770588-0,Winfield Scott,13 Jun 1786 - 29 May 1866,https://en.wikipedia.org/wiki/Winfield_Scott
ld1-1643399756728-1643399770653-0,Thomas Jonathan Jackson,21 Jan 1824 - 10 May 1863,https://en.wikipedia.org/wiki/Thomas_Jonathan_Jackson
ld1-1643399756728-1643399770790-1,Albert James Myer,20 Sep 1828 - 24 Aug 1880,https://en.wikipedia.org/wiki/Albert_James_Myer
ld1-1643399756728-1643399770797-0,Daniel Webster,18 Jan 1782 - 24 Oct 1852,https://en.wikipedia.org/wiki/Daniel_Webster
ld1-1643399756728-1643399770862-0,John Armstrong,25 Nov 1758 - 1 Apr 1843,https://en.wikipedia.org/wiki/John_Armstrong_Jr.
ld1-1643399756728-1643399771029-0,Minnie Maddern Fiske,19 Dec 1865 - 15 Feb 1932,https://en.wikipedia.org/wiki/Minnie_Maddern_Fiske
ld1-1643399756728-1643399771096-0,John Cabell Breckinridge,15 Jan 1821 - 17 May 1875,https://en.wikipedia.org/wiki/John_Cabell_Breckinridge
ld1-1643399756728-1643399771171-0,Woodrow Wilson,28 Dec 1856 - 3 Feb 1924,https://en.wikipedia.org/wiki/Woodrow_Wilson
ld1-1643399756728-1643399771222-0,Samuel Jones Tilden,9 Feb 1814 - 4 Aug 1886,https://en.wikipedia.org/wiki/Samuel_Jones_Tilden
ld1-1643399756728-1643399771247-0,John Merven Carrere,9 Nov 1858 - 1 Mar 1911,https://en.wikipedia.org/wiki/John_Merven_Carrere
ld1-1643399756728-1643399771328-0,Gilbert Stuart,3 Dec 1755 - 9 Jul 1828,https://en.wikipedia.org/wiki/Gilbert_Stuart
ld1-1643399756728-1643399771337-0,James Madison,16 Mar 1751 - 28 Jun 1836,https://en.wikipedia.org/wiki/James_Madison
ld1-1643399756728-1643399771338-0,Montgomery Blair,10 May 1813 - 27 Jul 1883,https://en.wikipedia.org/wiki/Montgomery_Blair
ld1-1643399756728-1643399771340-1,John Howard Raymond,7 Mar 1814 - 14 Aug 1878,https://en.wikipedia.org/wiki/John_Howard_Raymond
ld1-1643399756728-1643399771391-0,Henry Ward Ranger,29 Jan 1858 - 7 Nov 1916,https://en.wikipedia.org/wiki/Henry_Ward_Ranger
ld1-1643399756728-1643399771527-0,Bessie Potter Vonnoh,12 Aug 1872 - 8 Mar 1955,https://en.wikipedia.org/wiki/Bessie_Potter_Vonnoh
ld1-1643399756728-1643399771558-0,William Bainbridge,7 May 1774 - 27 Jul 1833,https://en.wikipedia.org/wiki/William_Bainbridge
ld1-1643399756728-1643399771606-0,Henry Lee,29 Jan 1756 - 25 Mar 1818,https://en.wikipedia.org/wiki/Henry_Lee_III
ld1-1643399756728-1643399771651-0,William Wirt,8 Nov 1772 - 18 Feb 1834,https://en.wikipedia.org/wiki/William_Wirt_(attorney_general)
ld1-1643399756728-1643399771725-0,Edward Everett Hale,3 Apr 1822 - 10 Jun 1909,https://en.wikipedia.org/wiki/Edward_Everett_Hale
ld1-1643399756728-1643399771918-1,James Knox Polk,2 Nov 1795 - 15 Jun 1849,https://en.wikipedia.org/wiki/James_Knox_Polk
ld1-1643399756728-1643399771997-1,Robert King Carter,1663 - 4 Aug 1732,https://en.wikipedia.org/wiki/Robert_Carter_I
ld1-1643399756728-1643399772240-0,Benjamin Helm Bristow,20 Jun 1832 - 22 Jun 1896,https://en.wikipedia.org/wiki/Benjamin_Helm_Bristow
ld1-1643399756728-1643399772288-0,Daniel Boone,11 Feb 1734 - 26 Sep 1820,https://en.wikipedia.org/wiki/Daniel_Boone
ld1-1643399756728-1643399772373-0,Benjamin B. Lindsey,25 Nov 1869 - 26 Mar 1943,https://en.wikipedia.org/wiki/Ben_B._Lindsey
ld1-1643399756728-1643399772444-1,Nathaniel Hawthorne,4 Jul 1804 - 19 May 1864,https://en.wikipedia.org/wiki/Nathaniel_Hawthorne
ld1-1643399756728-1643399772446-0,Abraham Lincoln,12 Feb 1809 - 15 Apr 1865,https://en.wikipedia.org/wiki/Abraham_Lincoln
ld1-1643399756728-1643399772453-0,Collis Potter Huntington,22 Oct 1821 - 13 Aug 1900,https://en.wikipedia.org/wiki/Collis_Potter_Huntington
ld1-1643399756728-1643399772488-0,John Middleton Clayton,24 Jul 1796 - 9 Nov 1856,https://en.wikipedia.org/wiki/John_Middleton_Clayton
ld1-1643399756728-1643399772951-0,Robley Dunglison Evans,18 Aug 1846 - 3 Jan 1912,https://en.wikipedia.org/wiki/Robley_D._Evans_(admiral)
ld1-1643399756728-1643399772975-1,George Clinton,26 Jul 1739 - 20 Apr 1812,https://en.wikipedia.org/wiki/George_Clinton_(vice_president)
ld1-1643399756728-1643399773250-1,Elisha Kent Kane,3 Feb 1820 - 16 Feb 1857,https://en.wikipedia.org/wiki/Elisha_Kent_Kane
ld1-1643399756728-1643399773325-0,George Gershwin,26 Sep 1898 - 11 Jul 1937,https://en.wikipedia.org/wiki/George_Gershwin
