Id,Name,Period,Wikipedia URL
ld1-1643399756728-1643399792086-0,Samuel Finley Breese Morse,27 Apr 1791 - 2 Apr 1872,https://en.wikipedia.org/wiki/Samuel_Finley_Breese_Morse
ld1-1643399756728-1643399792105-1,Richard Henry Lee,20 Jan 1732 - 19 Jun 1794,https://en.wikipedia.org/wiki/Richard_Henry_Lee
ld1-1643399756728-1643399792126-0,Charlotte Perkins Stetson Gilman,3 Jul 1860 - 17 Aug 1935,https://en.wikipedia.org/wiki/Charlotte_Perkins_Gilman
ld1-1643399756728-1643399792274-0,Edwin Forrest,9 Mar 1806 - 12 Dec 1872,https://en.wikipedia.org/wiki/Edwin_Forrest
ld1-1643399756728-1643399792411-0,Boies Penrose,1 Nov 1860 - 31 Dec 1921,https://en.wikipedia.org/wiki/Boies_Penrose
ld1-1643399756728-1643399792451-0,Jane Addams,6 Sep 1860 - 21 May 1935,https://en.wikipedia.org/wiki/Jane_Addams
ld1-1643399756728-1643399792481-0,Gilbert Stuart,3 Dec 1755 - 9 Jul 1828,https://en.wikipedia.org/wiki/Gilbert_Stuart
ld1-1643399756728-1643399792566-0,Anson Greene Phelps,24 Mar 1781 - 30 Nov 1853,https://en.wikipedia.org/wiki/Anson_Greene_Phelps
ld1-1643399756728-1643399792593-0,John Adams,30 Oct 1735 - 4 Jul 1826,https://en.wikipedia.org/wiki/John_Adams
ld1-1643399756728-1643399792621-1,Charles Tyson Yerkes,25 Jun 1837 - 29 Dec 1905,https://en.wikipedia.org/wiki/Charles_Tyson_Yerkes
ld1-1643399756728-1643399792689-1,Charles Franklin Kettering,29 Aug 1876 - 25 Nov 1958,https://en.wikipedia.org/wiki/Charles_Franklin_Kettering
ld1-1643399756728-1643399792846-1,Louis Albert Gudebrod,1872 - Dec 1961,-
ld1-1643399756728-1643399792942-1,Henry James,15 Apr 1843 - 28 Feb 1916,https://en.wikipedia.org/wiki/Henry_James
ld1-1643399756728-1643399793108-0,William Austin Burt,13 Jun 1792 - 18 Aug 1858,https://en.wikipedia.org/wiki/William_Austin_Burt
ld1-1643399756728-1643399793229-0,Henry Larcom Abbot,13 Aug 1831 - 1 Oct 1927,https://en.wikipedia.org/wiki/Henry_Larcom_Abbot
ld1-1643399756728-1643399793442-0,Henry Clay,12 Apr 1777 - 29 Jun 1852,https://en.wikipedia.org/wiki/Henry_Clay
ld1-1643399756728-1643399794050-0,Rembrandt Peale,22 Feb 1778 - 3 Oct 1860,https://en.wikipedia.org/wiki/Rembrandt_Peale
ld1-1643399756728-1643399794056-0,Stephen Grover Cleveland,18 Mar 1837 - 24 Jun 1908,https://en.wikipedia.org/wiki/Stephen_Grover_Cleveland
ld1-1643399756728-1643399794099-0,Tenskwatawa,c. 1775 - 1837,https://en.wikipedia.org/wiki/Tenskwatawa
ld1-1643399756728-1643399794140-0,William Tecumseh Sherman,8 Feb 1820 - 14 Feb 1891,https://en.wikipedia.org/wiki/William_Tecumseh_Sherman
ld1-1643399756728-1643399794205-0,Thomas Nast,27 Sep 1840 - 7 Dec 1902,https://en.wikipedia.org/wiki/Thomas_Nast
ld1-1643399756728-1643399794221-0,Abigail Powers Fillmore,17 Mar 1798 - 30 Mar 1853,https://en.wikipedia.org/wiki/Abigail_Powers_Fillmore
ld1-1643399756728-1643399794321-0,Samuel Putnam Avery,17 Mar 1822 - 11 Aug 1904,https://en.wikipedia.org/wiki/Samuel_Putnam_Avery
ld1-1643399756728-1643399794402-0,Charlotte Saunders Cushman,23 Jul 1816 - 17 Feb 1876,https://en.wikipedia.org/wiki/Charlotte_Saunders_Cushman
ld1-1643399756728-1643399794576-0,Albert Gallatin,29 Jan 1761 - 12 Aug 1849,https://en.wikipedia.org/wiki/Albert_Gallatin
ld1-1643399756728-1643399794625-0,Marquis de Lafayette,6 Sep 1757 - 20 May 1834,https://en.wikipedia.org/wiki/Marquis_de_Lafayette
ld1-1643399756728-1643399794979-0,Edwin McMasters Stanton,19 Dec 1814 - 24 Dec 1869,https://en.wikipedia.org/wiki/Edwin_McMasters_Stanton
ld1-1643399756728-1643399795043-0,Harriet Goodhue Hosmer,9 Oct 1830 - 21 Feb 1908,https://en.wikipedia.org/wiki/Harriet_Goodhue_Hosmer
ld1-1643399756728-1643399795061-0,George Caleb Bingham,20 Mar 1811 - 7 Jul 1879,https://en.wikipedia.org/wiki/George_Caleb_Bingham
ld1-1643399756728-1643399795192-1,Edward Maynard,26 Apr 1813 - 4 May 1891,https://en.wikipedia.org/wiki/Edward_Maynard
ld1-1643399756728-1643399795302-0,William Hull,24 Jun 1753 - 29 Nov 1825,https://en.wikipedia.org/wiki/William_Hull
ld1-1643399756728-1643399795352-0,Benjamin West,10 Oct 1738 - 11 Mar 1820,https://en.wikipedia.org/wiki/Benjamin_West
ld1-1643399756728-1643399795451-0,Peter Faneuil,20 Jun 1700 - 3 Mar 1743,https://en.wikipedia.org/wiki/Peter_Faneuil
ld1-1643399756728-1643399795849-0,Chauncey Mitchell Depew,23 Apr 1834 - 5 Apr 1928,https://en.wikipedia.org/wiki/Chauncey_Mitchell_Depew
